year,trade_date,manager_a,manager_a_players,manager_a_playoff_keepers,manager_a_season_keepers,manager_b,manager_b_players,manager_b_playoff_keepers,manager_b_season_keepers
2020,2020-11-19,Evan,Le'Veon Bell,,,Eddie,Rex Burkhead,,
2020,2020-11-28,Brian,Taysom Hill,,,Russ,Hunter Henry,,
2020,2020-12-01,Tom,"""Nelson Agholor, Michael Thomas""",,,Russ,"""Allen Robinson II, Chase Edmonds""",,
2020,2020-12-03,David,CeeDee Lamb,,,Tom,Allen Robinson II,,
2020,2020-12-04,Tom,"""Tony Pollard, Ezekiel Elliott""",,,Eddie,"""Malcolm Brown, Melvin Gordon III""",,
2021,2021-09-07,David,Darrel Williams,,,Tom,Darnell Mooney,,
2021,2021-09-14,Jeremy,"""Kareem Hunt, Diontae Johnson""",,,David,"""A.J. Green, Amari Cooper""",,
2021,2021-09-28,Jesse,"""Christian Kirk, Zack Moss""",,,Evan,Trey Sermon,,
2021,2021-10-06,Jesse,"""Keenan Allen, Kenny Golladay, Josh Jacobs, Kyler Murray""",,,Tom,"""Darrel Williams, Trey Lance, CeeDee Lamb, Stefon Diggs""",,
2021,2021-10-06,Anthony,Mike Evans,,,Jesse,CeeDee Lamb,,
2021,2021-10-07,John,"""Darrell Henderson Jr., Laviska Shenault Jr.""",,,Russ,"""DeAndre Hopkins, Rondale Moore""",,
2021,2021-10-22,Eric,Miles Sanders,,,Tom,"""Jaret Patterson, Clyde Edwards-Helaire""",,
2021,2021-10-26,Anthony,Tom Brady,,,John,"""Cam Akers, Jalen Hurts""",,
2021,2021-11-04,Russ,Derek Carr,,,John,Sony Michel,,
2021,2021-11-07,David,"""DeVonta Smith, Kadarius Toney""",,,John,Jaylen Waddle,,
2021,2021-11-12,Jesse,Hunter Renfrow,,,John,"""Derek Carr, Cardinals D/ST""",,
2021,2021-11-16,Russ,Ryan Tannehill,,,Matthew,Michael Gallup,,
2021,2021-11-20,Jeremy,"""Alvin Kamara, Amari Cooper""",,,Jesse,"""Michael Pittman Jr., Alex Collins""",,
2021,2021-11-22,Russ,Derrick Henry,,,Anthony,Ezekiel Elliot,,
2021,2021-11-24,Jeremy,DJ Moore,,,Anthony,Jalen Hurts,,
2021,2021-12-01,Eric,Clyde Edwards-Helaire,,,Matthew,Antonio Brown,,
2021,2021-12-01,Tom,Miles Sanders,,,Brian,Chase Claypool,,
2021,2021-12-03,John,"""DeVonta Smith, Hunter Renfrow""",,,Anthony,"""Chase Edmonds, DJ Moore""",,
2021,2021-12-03,David,Rob Gronkowski,,,John,Myles Gaskin,,
2021,2021-12-05,Tom,Kirk Cousins,,,Jeremy,A.J. Green,,
2021,2021-12-05,Tom,Kendrick Bourne,,,Jeremy,Jarvis Landry,,
2021,2021-12-08,Jesse,"""Khalil Herbert, Mike Evans""",,,Eric,"""Antonio Brown, Matthew Stafford, Brandin Cooks""",,
2021,2021-12-11,David,"""Odell Beckham Jr., Mark Ingram II""",,,Jesse,"""Brandin Cooks, Antonio Brown""",,
2021,2021-12-12,Tom,"""Keenan Allen, Brandon Aiyuk""",,,John,"""Rondale Moore, DeAndre Hopkins""",,
2022,2022-09-21,David,Sterling Shepard,,,Russ,Kirk Cousins,,
2022,2022-09-22,David,"""Curtis Samuel, James Robinson""",,,Anthony,Derrick Henry,,
2022,2022-10-07,Jesse,Tyler Bass,,,Eddie,"""Vikings D/ST, Min D/ST""",,
2022,2022-10-19,Russ,"""Dalvin Cook, Travis Kelce""",,,Eric,"""AJ Dillon, Davante Adams, Aaron Jones""",,
